code,course,semester,campus,days,type,instructor
BU.210.620 (81),Accounting and Financial Reporting,Fall 2021,Downtown Baltimore,W 6:00PM - 9:00PM,Open,C. Freitag
BU.210.620 (1F),Accounting and Financial Reporting,Fall 2021,Downtown Baltimore,M 1:30PM - 4:30PM,Open,D. Tong
BU.210.620 (F1),Accounting and Financial Reporting,Fall 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,D. Tong
BU.210.620 (X1),Accounting and Financial Reporting,Fall 2021,Washington DC Center,F 8:30AM - 11:30AM,Open,G. Bai
BU.210.620 (1W),Accounting and Financial Reporting,Fall 2021,Washington DC Center,F 1:30PM - 4:30PM,Open,J. Rippy
BU.210.620 (2X),Accounting and Financial Reporting,Fall 2021,Washington DC Center,Th 1:30PM - 4:30PM,Open,J. Rippy
BU.210.620 (W1),Accounting and Financial Reporting,Fall 2021,Washington DC Center,W 8:30AM - 11:30AM,Open,J. Rippy
BU.210.620 (W2),Accounting and Financial Reporting,Fall 2021,Washington DC Center,W 1:30PM - 4:30PM,Open,J. Rippy
BU.210.620 (X2),Accounting and Financial Reporting,Fall 2021,Washington DC Center,T 1:30PM - 4:30PM,Open,J. Rippy
BU.210.620 (X3),Accounting and Financial Reporting,Fall 2021,Washington DC Center,T 6:00PM - 9:00PM,Open,J. Rippy
BU.210.620 (2W),Accounting and Financial Reporting,Fall 2021,Washington DC Center,W 6:00PM - 9:00PM,Open,M. Fowler
BU.210.620 (82),Accounting and Financial Reporting,Fall 2021,Downtown Baltimore,Th 6:00PM - 9:00PM,Reserved Open,S. Demirkan
BU.210.620 (F2),Accounting and Financial Reporting,Fall 2021,Downtown Baltimore,M 1:30PM - 4:30PM,Open,S. Demirkan
BU.210.620 (F3),Accounting and Financial Reporting,Fall 2021,Downtown Baltimore,M 8:30AM - 11:30AM,Open,S. Demirkan
BU.210.620 (F4),Accounting and Financial Reporting,Fall 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Open,S. Demirkan
BU.210.620 (1X),Accounting and Financial Reporting,Fall 2021,Washington DC Center,W 1:30PM - 4:30PM,Open,X. Sun
BU.210.620 (30),Accounting and Financial Reporting,Fall 2021,Online,,Open,X. Sun
BU.210.620 (31),Accounting and Financial Reporting,Fall 2021,Online,,Open,X. Sun
BU.210.620 (32),Accounting and Financial Reporting,Fall 2021,Online,,Open,X. Sun
BU.210.620 (33),Accounting and Financial Reporting,Fall 2021,Online,,Open,X. Sun
BU.210.620 (34),Accounting and Financial Reporting,Fall 2021,Online,,Open,X. Sun
BU.210.620 (35),Accounting and Financial Reporting,Fall 2021,Online,,Open,X. Sun
BU.210.620 (36),Accounting and Financial Reporting,Fall 2021,Online,,Open,X. Sun
BU.210.620 (37),Accounting and Financial Reporting,Fall 2021,Online,,Open,X. Sun
BU.210.001 (01),Accounting and Financial Reporting Waiver Exam,Fall 2021,Online,,Open,X. Sun
BU.920.602 (M1),Accounting Foundations,Fall 2021,Downtown Baltimore,T 8:30AM - 11:30AM,Open,G. Bai
BU.920.602 (M2),Accounting Foundations,Fall 2021,Downtown Baltimore,T 1:30PM - 4:30PM,Open,G. Bai
BU.420.730 (K3),Advanced Behavioral Marketing,Fall 2021,Downtown Baltimore,F 8:30AM - 11:30AM; W 8:30AM - 11:30AM,Open,M. Zhu
BU.520.620 (X4),Advanced Business Analytics,Fall 2021,Washington DC Center,Th 8:30AM - 11:30AM,Open,N. Turken
